File name prefix       : /home/pi/ad2_daq/data/20200705/sub0000
Sampling Frequency (Hz): 1e+07
Trigger Level (V)      : -1
Trigger Type           : Falling Negative
Trigger Position (s)   : 0.0003
Number of Events       : 10000
Rate(Hz) 2110 1593955371 inf
Rate(Hz) 2120 1593955371 inf
Rate(Hz) 2130 1593955371 inf
Rate(Hz) 2140 1593955371 inf
Rate(Hz) 2150 1593955371 inf
Rate(Hz) 2160 1593955371 inf
Rate(Hz) 2170 1593955371 inf
Rate(Hz) 2180 1593955371 inf
Rate(Hz) 2190 1593955371 inf
Rate(Hz) 2200 1593955371 inf
Rate(Hz) 2210 1593955371 inf
Rate(Hz) 2220 1593955372 10
Rate(Hz) 2230 1593955372 inf
Rate(Hz) 2240 1593955372 inf
Rate(Hz) 2250 1593955372 inf
Rate(Hz) 2260 1593955372 inf
Rate(Hz) 2270 1593955372 inf
Rate(Hz) 2280 1593955372 inf
Rate(Hz) 2290 1593955372 inf
Rate(Hz) 2300 1593955372 inf
Rate(Hz) 2310 1593955372 inf
Rate(Hz) 2320 1593955372 inf
Rate(Hz) 2330 1593955372 inf
Rate(Hz) 2340 1593955372 inf
Rate(Hz) 2350 1593955372 inf
Rate(Hz) 2360 1593955372 inf
Rate(Hz) 2370 1593955373 10
Rate(Hz) 2380 1593955373 inf
Rate(Hz) 2390 1593955373 inf
Rate(Hz) 2400 1593955373 inf
Rate(Hz) 2410 1593955373 inf
Rate(Hz) 2420 1593955373 inf
Rate(Hz) 2430 1593955373 inf
Rate(Hz) 2440 1593955373 inf
Rate(Hz) 2450 1593955373 inf
Rate(Hz) 2460 1593955373 inf
Rate(Hz) 2470 1593955373 inf
Rate(Hz) 2480 1593955373 inf
Rate(Hz) 2490 1593955373 inf
Rate(Hz) 2500 1593955373 inf
Rate(Hz) 2510 1593955373 inf
Rate(Hz) 2520 1593955374 10
Rate(Hz) 2530 1593955374 inf
Rate(Hz) 2540 1593955374 inf
Rate(Hz) 2550 1593955374 inf
Rate(Hz) 2560 1593955374 inf
Rate(Hz) 2570 1593955374 inf
Rate(Hz) 2580 1593955374 inf
Rate(Hz) 2590 1593955374 inf
Rate(Hz) 2600 1593955374 inf
Rate(Hz) 2610 1593955374 inf
Rate(Hz) 2620 1593955374 inf
Rate(Hz) 2630 1593955374 inf
Rate(Hz) 2640 1593955374 inf
Rate(Hz) 2650 1593955374 inf
Rate(Hz) 2660 1593955374 inf
Rate(Hz) 2670 1593955375 10
Rate(Hz) 2680 1593955375 inf
Rate(Hz) 2690 1593955375 inf
Rate(Hz) 2700 1593955375 inf
Rate(Hz) 2710 1593955375 inf
Rate(Hz) 2720 1593955375 inf
Rate(Hz) 2730 1593955375 inf
Rate(Hz) 2740 1593955375 inf
Rate(Hz) 2750 1593955375 inf
Rate(Hz) 2760 1593955375 inf
Rate(Hz) 2770 1593955375 inf
Rate(Hz) 2780 1593955375 inf
Rate(Hz) 2790 1593955375 inf
Rate(Hz) 2800 1593955375 inf
Rate(Hz) 2810 1593955375 inf
Rate(Hz) 2820 1593955376 10
Rate(Hz) 2830 1593955376 inf
Rate(Hz) 2840 1593955376 inf
Rate(Hz) 2850 1593955376 inf
Rate(Hz) 2860 1593955376 inf
Rate(Hz) 2870 1593955376 inf
Rate(Hz) 2880 1593955376 inf
Rate(Hz) 2890 1593955376 inf
Rate(Hz) 2900 1593955376 inf
Rate(Hz) 2910 1593955376 inf
Rate(Hz) 2920 1593955376 inf
